kelime,anlam
dığa,çocuk (aşağılayıcı)
tırrefa,alıngan
çöör,mısırın alt sap kısmı
Koba,Bardak
zelva,öküzün boyunduruğunun çıkmaması için takılan eğri değnek
daklaşma,sataşma
Abdaslık,Lavabo
emiceklik vermek,umut vermek
kaguç, çekiç
tivron,ucu v şeklinde uzun sopa
haft,su birikmiş beton havuz
Çemirlemak,Kolu çevirmek
tızınan,iri kıyım
babelanmak,tıka basa yemek
hab hap,takunya
förtleg,dışarı fırlamış nesne
Şavteli,Şeftali
hüşgüra,kalemtraş
kevurga,buğdayın saçta pişirilmesi
sofa,salon
Gebizbabası,Kısa boylu kişi
zifir, karanlık
gitişmek,kaşınmak
Bi,Bir
kardol,patates
bügük,eğri olan
Babıç,Ayakkabı
yaşmak çelmag,ağzı örtecek şekilde baş bağlamak
ezınsımak,az bulmak
sako,pardesü
elcim,yün tararken
teşma,delik açma.patlatma.yırtma
cenderme,jandarma
düremaç,ekmek arası
hoşo, kompostu
kanterma,kemerli yapı
uğul, yavru arı
ilaan aa,lahana
dızınan,iri yapılı
dayançe,koltuk değneği
çaygera,su içmek için su kaynağının önüne yapılmış küçük havuzcuk
yemani,deriden yapılan hafif ayakkabı
pezane,bezelye
kuşlug,kuşların ilk uyandığı sabah ile öğle vakti arasındaki zaman
eyingeç,zakkum
efil-efil,rüzgâr esmesi
kodik,köpek yavrusu
Göcek,İplik makarası
işmar,işaret
Badılçen,Patlıcan
Gizenguggi,Saklambaç
gi̇ggi̇demi̇n,gidiyormusun
çığızlamak,mızıkcılık etmek hakkına razı olmamak
paleş,bedava
demci,damla
dinelmek,ayakta durmak
ineeman,kertenkele benzeri bir sürüngen
tıreş,uzun boylu
zear,herhalde
Antar,Değersiz
iliksiz,yaramaz
gemci,sopa
ağlenmak,araba için: durmak
dutak,kulpsuz elbezi
allançak,hamak
ıltız,yıldız
Gavın,Kavun
gıdik,keçi yavrusu
sayir,dilenci
böğü,örümcek
fösük,dişsiz dişleri sökülmüş
Dığan,Tava
mih,çi̇vi̇
ucağın annacınta,ocağın yanında
kekre,çalmak (tadının ekşi veya acıya yakın olması)
bezmek,usanmak
evma,acele etmek
zımzırık,yumruk
elaşmek,yerleşmek
Açır,Acur
şemer,tokat
tenko,sosyetik
halki,kova
yağlıg,mendil
giran giresiçe,soyun sopun kurusun
Gevva,Kahvehane
Ayar,Eğer
eke toka,bilmiş
dadanmag,alışmak
hose,kaygı
uğnüg,önlük
tolta,korunaklı yer
ahal,i̇yi
donter,üstü kapalı yer.sakin yer
çulsuz,fakir
akak,ormandan su akmayan taşlı su yolu
sehan,tabak
mangaş,cımbız
poyna,daima
ganadlı,evin iki yana açılan sokak kapısı
çatal gapı,i̇ki kanatlı avlu kapısı
Gorhana,Mezarlık
yavuklu,nişanlı
garceşmak,gürültü yapmak
pedni,hayvan yemliği
şapşak,su kabı
hudik,tedirgin
eme,hala
Fanti,İskambil
na duon,ne diyorsun
ehmak,aptal.salak
dopuş,sivriliğini kaybetmiş körelmiş
ankaz,büyük
Iredyo,Radyo
gızmek,kızmak
sıracali,yaralı
Çablame,Çit
aaşemodu,akşamüstü
çelbeşük,karışık iş
gabzımel,manav sebze meyve satıcısı
ibrik,toprakbardak
soğugkuyu,kara lastik ayakkabı
uşah,çocuk
Alef,Hayvan yemi
Irapbım,Rabbim
piyo,bir kere
zi̇fi̇r,karanlik
eyşi,ekşi
açıkarba,kamyon
Bire bire,Birer birer
ayahceh,merdiven
balçen,badılcan
burunlamek,önemsememek
papur yulu,kırkgöz köprüsünden geçen eski ipek yolu
helbır,kalbur
azman,melez
bera,koyun sağım yeri
tosten,human pisliğiyle beslenen bir tür böcek
Bekreç,Kova
kantil,ışık
Dığen,Tava
huranta,ev halkı
dım tım,saz
Cici biçi,Süslü
gıyıh, büyük iğne
dökezimek,bir yere ayağı takılmak
çitçi,çiftçi
çi̇r,kayisi-elma-armut gi̇bi̇ meyve kurusu
Gaşga,At arabası
sitil,küçük bakır kova
zehre,yem
annacınta,karşısında
valespit,Bisiklet
musur, hayvan yemleme bölmeleri
petni,hayvan yemliği
biyu,bir kere
nacag,balta
avlo,evin giriş salonu
ağin,sırt
Bıldır,Geçen yıl
etaklik,etek
hala ki,i̇yiki
mıslık,musluk
laylun,römork
paşvani,bekçi
A kuzum,Yavrum
ilane,lahana
Fizzah,Bağırma
mumbar,sakatat
tüneg,tavuk veya kuşların gecelediği yer
cıtırmanik,meneviş ağacı
Gavın,Kavun
vızzık,sigara izmariti
kallen,tamamen
enük,kedi ya da köpek yavrusu
dez,çabuk
ver etmek (ver etti kafasına kafasına),vurmak
sohra i̇ş,angarya i̇ş
tırpan,ekin biçmede kullanılan aygıt
gâsi̇ma,karşıma
Fesille,Fasulye
makad,sedir
hefifletmek,yük hafifletmek
tolubturu,dolmaya başlamak
dikec,ağaçtan yapılmış kazık
Dulca,Maşrapa
cıbıl,züğürt
guruk, eşşek sıpası
dengereg,yuvarlak
maasuzdan,şaka
yağernı,sırt
epsit,destek
küccük,küçük
firavun,art niyetli fenalı düşünen kişi
halpur, elek
oğol,yavru ari
kullep,kapı demiri
ırgat, işçi
bebaht,mutsuz
Şıngırdag,Sesli
özeme, ayran
dingog,baykuş
enüg,kedi ya da köpek yavrusu
gürdüşmeg,kürneşmek;güreşmek
hiriğ,eski̇mi̇ş ayakkabi
tergemeg,bırakmak
cırmak,kök.ağaç kökü
Cigerakraba,Yakın akraba
dalamak,yün giyisilerin vücutta kaşıntı yapması
avme,acele etmek
Algı-Vargi,Geçim
vıddırıvızzık,i̇şe yaramaz nesne
hasta yoklamak,hasta ziyaret etmek
cemal,duvar
Gağ,Kurutulmuş meyve
Çenag,Tabak
buydag,yalnız başına
hafd,su birikmiş beton havuz
fasille,fasulye
ağartı,süt
çögür,bir çeşit dikenli yaban bitkisi
çaçik,tülbenti başın etrafına sararak bağlama tarzı
kover,tohumluk küçük soğan
tenha, ıssız
tiltompak,şeftali
kopa(tas),bardak
cığız,mızıkçı
hasta yoglamak,hasta ziyaret etmek
ağiş,ekmek çıkarıcı çengel
kele,bayanlar için kullanılan samimi ifade
böbek,bebek
böçü,böcek
ekideş,arkadaş
gadingeyenge,amca
çul,çuval
icık,az
zıkgım,haram
pi̇rçekli̇,havuç
huram,bir elin kavrayacağı ot
fışgın,dalda beliren filiz
celtig,pirincin tarladaki hali
eluce,çulluk kuşu
tirit,et suyu
Dolce,Maşrapa
minten, gömlek
horem,ot demeti
çıtırmenig,meneviş ağacı
sençileyin,benzer
essah,doğru
kırglı,loğusa (yeni doğurmuş hamile kadın) bir hanımın ilk kırk günlük dönemi
Koyruklo,Akrep
bürpürüm,semizotu
Üleşmeg,Paylaşmak
curt,dikenli
kor (kör),çukur
elama,avuç içini dolduracak büyüklükte taş
edebsiz,terbiyesiz
kücülün,henüz güç bela
i̇gidemirli,i̇ki ağızlı (bıçaklı) saban
Mamır,Memur
Cigerakraba,Yakın akraba
kirel,kiler
Eğiş,Hamur artığı
nertenk,salça
çalınmak,aramak
Gorluk,Cenaze parası
tivirci, yöresel kıyafet (üç peş)
hülle,hille
mih,nalçivisi
düşük,erken olan
Irabbım,Rabbim
ayagca, merdiven
alcen,alacağım
devlik görmek,kış hazırlığı yapmak
ha,evet anlamına bir ifade
Çid çalısı,Boylu poslu
çek çek,kesme
göte,şişman
Marasci,Mirasçı
gümen,şüphe
gebadeg,şişman
yenkattan,yeniden
çılg,bozulmuş yumurta
çönesin,otursun
harar,yün çuval
oklavı,hamur çubuğu
sini,bakır tepsi
Galen,Artık
pesbelli,herhalde.belli ki
Şındın,Cilveli
cüllük,hartlap ağacının meyvesi
Gocik,Kaban
yargını çinevsea,sırtımın üstüne çık ayaklarınla masaj yap
kaçaşme,uyuşma
Elef telef,Zayıf
telesimeg,bunalmak
eğleş,dur.
Ye'pa,Yapar
dotapa,hizmetçi kız
yumoş,emir
eğraltlık,bir tür imece
esbab,çamaşır
yazma,başörtüsü
hasir,ot sergi
Artdeş,Arkadaş
merkab,eşşek
çarci̇,seyyar satici
çarı,çabuk
tengerak,yuvarlak
gorik,yeni doğmuş tay
ciden,bölme
Abad ulmak,Gelirden memnun olmak
sayir,dilenci
apdasklıg,lavabo
gıyıh, büyük iğne
gidişmag,kaşınmak
ögü,o
keloş,mes üzerine giyilen yarım ayakkabı
Bidena,Bir tane
büzüg,toplu
çiğin,omuz
çekelüz,sincap
çi̇r,kayisi-elma-armut gi̇bi̇ meyve kurusu
gurik,yeni doğmuş tay
dorug,ladin ağacı
seyir,dilenci
afe,ababay
boşoş,kiriş
öcpalemek,israr etmek
çir,zerdali kurusu
şurt,tandır kenarı
loğ,düzleştirme taşı
komük,ön dişleri çürük olan
Gazda,Gazete
bazmeg,usanmak
menca,domates salatası
öndüç,ödünç
kermek,arkasından konuşmak
bürçekli,havuç
gelberi,tandırdan kül çekmeye yarayan demirden alet
sindik,civa sülfür
Hızan,Çoluk-çocuk
goyvermeg,serbest bırakmak
tevamsız,işe yaramaz
ivga vermeg,kışkırtmak
garik,Artık
gayme,lira
ışgıye,eşkıya
çelig,çocuk ayakkabısı
mahana,bahane
eraz,dilsiz
aşeg,yünden ip yapma aracı
Sırıg,Uzun boylu
kırk,kırk
Eşka,Gölge
cücük,civciv
donag,kıyafet
gelabelık,kalabalık çokluk
garsemba,fazla olan eşya
Cuvere,Sigara
zıravit,uzun
götüme,götürme
dirliksiz,geçimsiz
çılpı,doğrultu
teze yağ,tereyağı
güvardme,ufak çıban
patar,baba
fanye,gaz lambası çeşidi
tozik,dangalak.başı boş
ufalame,parçalama
Gaven,Dikenli bitki
kari,artık
efgurma,sürekli bağırma
çaç,buğday yığını
gözel,güzel
gi̇di̇vamak,gitmek
çandik,i̇şaret
mih,çi̇vi̇
nakes,cimri
gepenek,kelebek
eza,teyze
tığe,hakararet olarak çocuk
zilinkir,uykusunu alamamış
Motor,Traktör
fördlatmek,ateşte kaynatmak
dilmeg,i̇nce doğramak
al garısı,efsanevi yaratık
udlanmak,çekinmek
damlalıg,çatıların alt kısmı
Tavık,Tavuk
künefa,taze peynirle yapılan kadayıf tatlısı
ace,erkek kardeş
tırıp,çok pek çok
guşhana,büyük sahan
ellem,herhalde
Coc,Bataklık
eme,hala
Gubpal,Büyük burun
gahırdek,koyun kuyruğunun kavrulmuşu
sıldarmag,somurtmak
gekirdak,yağ
evut,ağlama
çente,Çanta
gürük,eşek yavrusu
fatil,taze yemek için yapılan kalın yufka ekmeği
üğürlanmeg,kendi kendine söylenerek nazla sallanmak
çengal,çengel
çevrüntü,elekte ortada toplanan ot tohumu
gankıl,arkada kalan
Gözü kararmak,Başı dönmek
söyliyrum,söylüyorum
ekuru gidme,yamaç yerde düz gitme. paralel
gollap,kapı demiri
bin,kümes
hüşgüre,kalemtraş
peşbıyık,muşmula meyvesi
tahan,tahin
atgo,şal
debellanmek,yuvarlanmak
böyün,büğün
çutura,kapak
yeygü,hayvan yiyeceği
patal,büyük
dilliksiz,yaramaz
sınamak,denemek
daklaşma,sataşma
mozik,buzağının büyüğü
içlik, iç çamaşırı
çenig,yaylaya göre sahil
darıgmag,zor durumda kalmak
pat bat,patlamış mısır
tummek,suya dalmak
Andıra kalsın,Sonu gelsin
Düğmec,Ekmekli yemek
kurcalemak,karıştırmak
huzan,ekin biçildikten sonra tarlada kalan kısmı
garen,güney ege bölgesinde deniz börülcesine verilen ad
eçcük,az
geli,düz arazi içinde taşlı tümsek yer
zilingir,uykusunu alamamış
puymak,üşümek
ködünmü,gördün mü
çilpik,küçük parça
tuluk,tulum halinde çıkarılmış keçi derisinden yapılan su taşıma aracı
bapahd,mutsuz
çepüg,alkış
ayinkec,zakkum
bildir,geçmi̇ş yil
çürük ayı,temmuz
gendak,eğrelti dikiş tutturma ekleme
vizzo,huylandırmak
dilmek,i̇nce doğramak
köp,kağnı altı parça
acer,taze
citil, fidan
ceek garka,bağıran alakarga
Aşşa,Aşağı
garçaşturma,tarıştırma tahrik etmek
can çıgtı, tarlada 5 çayı
sâpi,çocuk
i̇lağen,leğen
Aha,İşte
alelik,evlerde odaların tavana yakın yerine yapılan meyve konulan tahtadan yapılmış raf
nacag,balta
alçen,alacağım
dilmeg,doğramak
töramek,üremek
nalbeki,küçük bakır tabak
yenpiri,yan yan yürüme
maasuzdan,şaka
betoru,kuyu kazanı
gürsü,tandırın üzerine konan masa
saklim,sanki
paladız,paladız
ibrem,ibrahim
dahan,tahin
evren,ejderha büyük yılan
buymuş,donmuş
i̇kidemirli,i̇ki ağızlı (bıçaklı) saban
yilçi,yaramaz
kömbe,börek
guçuk,1 yaşina gi̇rmemi̇ş köpek yavrusu
çırdetan,acı yabani kavun
saray nikahı,resmi nikah
çoreh, tuzlu
yağırnı,sırt
vola,ulan
barvanik,önlük
esgetag,kadın
bupoç,ayakkabı
tahan,tahin
cördük,yabani armut
gümale,çalı çırpıdan yapılmış bağ ya da tarla evi
çörtük,küçük yabani armut
tutek,kulpsuz elbezi
sokranmek,söylenmek
ey,bir seslenme biçimi
keceşme,uyuşma
zipil,çok bulunan
cingen,çingene
mıtrıp,cimri
şoga,pestilinkatlanmış şekli
turd,çivili köpek tasması
aprul,nisan
karıp,urfalı olmayan yabancı
lığlema,yuvarlanma
hağ,küfe
eykırlamak,bir yöne gitmek (hora aykır lavdı)
leylim,limon
seglim,sanki
çinkilli,bir kuş cinsi
Eqgu,Nine
loş,düğün yemeği
ırkad, işçi
taşı,taşımak
Bibi,Hala
osun,Olsun
i̇vez,sivrisinek
çörtüg,küçük yabani armut
Toge,Bilye
ankür,üzüm tanesi
havflenmeg,korkmak
cember,başörtü çeşidi
miriyıkık,morali bozuk
hasoda,aside. un
su solamek,bahçe sulamak
govvatlı,kuvvetli
Dummag,Dalmak
tah,çok güzel
gişi,evli erkek
evinsiz,gereksiz
nelbeki,küçük bakır tabak
Bidibidi,Azar azar
kilden tas,(anlamı belirtilmemiş)
Zipil,Çöp
kızıllenmak,kıskanmak
kıdik,keçi yavrusu
soku,bulgur döğülen içi oyuk taş
bed,bulgur dolma içi
em,ilaç
vizzo,huylandırmak
ayırtlama,temizleme
farfare,geveze
ey,bir seslenme biçimi
çemüş,kuru üzüm
culfalık,kilim dokuma tezgahı
Düdük gibi,Dar
gödün götün gitmek,geri geri gitmek
sümsük,pisboğaz
gurmuk, hamur bezesi
pece,gece
çıtırmenik,meneviş ağacı
Hı,Evet
gepıg,kabuk
Avet,Geniş yapraklı bir tür diken
fıydırme,kaldırıp atma
püvad,tarlada suyun yönünü değiştirmek için kurulan set
baçid,acele
cılgıdma (cığızlame),oyun bozma
segıldeh,kuyruk kiri
garni,gara
halhel,bilezik
pürcakli,havuç
cufar,zehir
eylanmek,oyalanmak.vakit geçirmek
gasmek,germek sıkıştırmak
fışkı,gübre
bin,kümes
kasmig,i̇ri saman taneleri
keye,kaya
elkovan,mor renkli çiçekli ağaç
caht,bir şeyi yapmaya kararlı olma
hüllelemek,firlatmak / atmak
i̇şkillanmek,şüphelenmek
Dınez,Alay
Diksinmek,Tiksinmek
Evza,Kibrit
ceppig,alkış
Güman atmek,Umut etmek
çömçe,büyük tahta kaşık
haşıl,ana maddesi öğütülmüş buğday
ucun uçon,azar azar
salahane,başıboş
geyme,kıyma
mıh, çivi
keykı,sert
cılıg,bozuk yumurta
manik, kedi-köpek yavrusu
kömeç,ebe gömeci
endenden,aynısından
iskambe, sandalye
garni,gara
azınsımak,yetersiz bulmak
yenkattan,yeniden
sufe,salon
vizzo,huylandırmak
evlea,barınak
eğartu,ayran
gayva,kahve
kazıl,yünden yapılmış kalın iplik
cıstik,erkek ayakkabısı
Langer,Tabak
kasar,harmandan sonraya kalan süprüntü
gekgeli̇mi̇n,geliyecek misin?
Kalime,Anlam
atkı,omuza alınan örtü
yalikme,şımarma
gamçi,sopa
Cemuş,Manda
çızan,oyun bozan
tütek,olgunlaşmamış meyve tomurcuğu.gonca
çabak,göz iltihabı
yırtımçı,manifaturacı
alemug,yarı güneşli hava.bunaltıcı sıcaklık
hambalis,aşılı mersin (maki türü)
singil,uyuşuk
baçi,bacı
fanila,i̇çlik iç elbisesi
öngü,şu
Babıc,Ayakkabı
cörtük,yabani küçük armut ağacı
aşgi,olayın nedeni belli olması
calpara,kalaylı tencere
çıbık,küçük ince dal
hamurbişirme,erişte
göbek, mantar
i̇cli,yufkadan yapılan börek
Gönek,İç çamaşırı
seyir,dilenci
eşkin,atların tatlı ve hızlı yürüyüşü
gallen,tamamen
Boğari puğhari,Baca
tutmaç,hamurlu çorba
gursaglı,kursaklı
hüllelemek,firlatmak / atmak
çalfin,piliç
halhal,bilezik
küflet,ev halkı
sini,tepsi
börg,bere
ekis nükte yabmak,alaycı ve kırıcı konuşmak
çöllemek,bahçeden meyve çalma
sıraçali,yaralı
düğülçek,ince bulgur
çir,ekşi kayısı kurusu
yekinmeg,birden kalkmak
gejgare,sedye
kekec,kekeme
biyu,bir kere
gıvcınmek,yerinde duramamak
berga,kayisi
dığan,teflon olmayan tava
şıvgitmak,etkisiz hale getirmek;dövmek
keşağı,hayvan tarağı
Eqko,Nine
naçek,balta
görükmag,görünmek
tav,dağ
eeta,pekmez
kuçuk,köpek yavrusu
Bişke,Kibir
çandek,ağaç dallarının birbirinden ayrıldığı yer
dombay,manda
tulek,başa veya dize dolanan uzun yün örgüsü
töşlük,kolsuz yelek
garelt,söndür
bun,sıkıntı
cingil,küçük bakraç
zoğal,kızılcık
pedimli,parasız
buyona,sürekli
arkuru,paralel
çöçelanmek,konuşamamak
afur,ahır
balen,bayır tepe
pedni,hayvan yemliği
ihi,işte
lığlame,yuvarlanma
ağlanmek,araba için: durmak
küz,sonbahar
fışgın,dalda beliren filiz
pel pel bakmak,aptalca bakmak
cıscıbıl,çırılçıplak
buheri,baca
gandil,ışık
töşlük,kolsuz yelek
hökalekli,i̇riyarı
Aba,Ağabey
cırım cıngıl,çok fazla.-yırtık
zubon,entari
Tavık,Tavuk
cıscıpıl,çırılçıplak
hırıg, eskimiş ayakkabı
öbçe,şımarık
ammal,hamal
coluh,hindi
Vizura,Biberon
köölez,yavru
lülüt,çitlembik
boruk,acı
palambırt,palamut
hodik,tereddütlü
ezbah,çok zor
Tunelı,Hareketli kız
enea,şaşkınlık hali
temelli,devamlı
Sallangec,Salıncak
deze,Teyze
mi̇ntan,gömlek
eviik,üveyik kuşu
dıraş,uzun boylu
kavurga,buğdayın saçta pişirilmesi
Sıtıradsız,Suratsız
ahan,işte şu
galoş,mes üzerine giyilen yarım ayakkabı
cınnak,tırnak
davık,tavuk
cufar,zehir
deman,değirmen
dilmek,i̇nce doğramak
haral (harar),ketenden yapılmış büyük çuval
göööm,olgunlaşmamış
gıpcıg,tez canlı
Podur,Pantolon
çıdır,i̇nce sık dallı dikenli
negas,cimri
zürriyed,soy
iskembi,sandalye
doh,dikkat çekmek
espap,çamaşır
beşbıyık,muşmula meyvesi
zınarmek,karşı gelmek
repata,hamur tutacağı
pilader,kardeş
mih,çi̇vi̇
buldukça buşremak,yetinmemek
pisig, kedi
töşşek,yün yatak
meraba,tarım işçisi
galiç,ayrık cinsinden kökü derinlerde olan zehirli bir ot
hatif,üzüm döküntüsü
azgun,çıldın
düve,dana
antır,adı bilinmeyen.i̇şe yaramayan
kamka,yontulmuş ağaç parçası
eyahçek,merdiven
yel,köpek maması
Cor,Oyun bozmak
çelduk,i̇çi boş fındık çotanağı
avsi,bir kısmı yanık odun parçası
öndüç,ödünç
çebit,çaput
kuyo,kuyu
mangeş,cımbız
aburcupur,karışık
heşıl,buğday yemeği
Ürmek,Havlamak
celdig,pirincin tarladaki hali
kesân,dana burnu
çöçelenmeg,konuşamamak
giti,kozalak
erroda,sevilen küçük kız çocuklarına denir
börk,bere
koncoloz,hortlak
çümende,çimento
fıy dırmak,fırlatmak
ködün götün gitmek,geri geri gitmek
cömçe,kepçe
arkurulamak,yan tarafa doğru gitmek
hafıze,bir şeyin bellekte saklanması
keltoş,kel
gömüş,manda
esgi,çamaşır
tejgara,gübre taşıyıcı
dekmele,tekmele
yeşillik,bahçe(bağ)
derviş,okumuş
i̇şkefa,yufka
hayit,sapan yapma amacıyla kullandığım ağaç
abelamak,emekleme
maştela,sebze fidelerinin hepsine birden söylenen söz
leyli,salıncak
bıdık,küçük yumurta
sokom (suhum),lokma
gındırik,ufak tefek
yımırta,yumurta
mavzer,kırıkkale piyade tüfeği
zenna,kadın
gönenmak,mal sahibi olmak
Gıdik,Oğlak
kollac,kadın ayakkabısı
mahet,sedir
pin,kümes
nane,nine
dombalag,takla atma
cepken,yağmurluk
galberi,tandırdan kül çekmeye yarayan demirden alet
tomofil,otomobil
dügen, öküz veya at ile ot sürme
zırza,kapı demiri
işgillanmek,şüphelenmek
partalçı,palavracı
çelgı,süpürge
gındıllik,çember
cüllük,hartlap ağacının meyvesi
am,ilaç
suneg,mısır koçanı
çağla,kayısı
afsi,ucu yanmış odun
apurcubur,karışık
gıdik,oğlak
Gocane,Yenge
çuk hura geçdi,çok makbule geçti
Yımırte,Yumurta
Heçen,Madem ki
harel,kıldan yapılmış büyük çuval
çılfa,pulluk
abrul,nisan
hış ter,aşırı terlemek
hülafa,bedava
kerdilmek,çentik açmak
ilistir,kevgir
hadük,pişirilmiş buğday
sıraçali,yaralı
i̇tâ,pamuktan yapılmış hamur çuvalı ve örtüsü
fiy,bezelye
ötü sidmak,ödü kopmak
yalek,kap
Şındın,Cilveli
Asaça yıkımak,Baş önden yıkamak
cingan,çingene
gidişmek,kaşınmak
Çığırma,Çağırma
Nişannı,Nişanlı
Ergiş,Adam
erped/aşerat,acayip
Payante,Desteklemek amacıyla yanlardan dayanmış direk
fıydırme,kaldırıp atma
tumofil,otomobil
çamrenmeg,paçaları sıvamak
emlik,henüz süt emen yavru
çiçik,meme.göğüs
cavrüntü,ot tohum karışımı
genlı,katil
govik,huni
çeğiz,gelin ceyizi
Çuval gibi,Bol
gözel,güzel
fenigme,bunalma
kaçıl,çekil
Bıçğı bışğhı,Testere
elleşme,dokunma
Artteş,Arkadaş
Güman etmak,Umut etmek
Yümek,Yıkamak
özelemeg,yoğurdu karıştırarak ezmek
mısmar,iri çivi
yağin,güzel
vırdgal,aynı yerde gidip gelme
işgillenmek,şüphelenmek
cuvera,sigara
işgafe (işkefe),yöresel yufka ekmeği
civirtmak,i̇shal.oyundan çıkan
kız,kız
yüğürtmeg,koşmak
ame,hala
kork,kuluçkaya yatan tavuk
zuvah,sokak
aga,tecrübeli
özema,ayran
guydo,kuytu
gangırma,bükmek-eğmek
çüven,davulun tokmağı
gaye, kaya
Eğiş,Hamur artığı
Şavteli,Şeftali
kalo,hayvan bağlama ağacı
eylak,avare gezen
çene,köşe başı
yeyan,yürüyerek
ayedsa,yavaş yavaş
gumbilis,komunist
gullep,kapı demiri
i̇listir,kevgir
yoğşomak,hamurun açılacak kıvama gelmesi
cereyen,elektrik
mektap,okul
Cendırma,Jandarma
dulopduru,dolmaya başlamak
çırım cıngıl,çok fazla.-yırtık
Yag'cek,Yakacak
tıvrag,yakışıklı
pırdıcı,manifaturacı
variyetli,zengin
Derakep,Hemen
hülefe,bedava
ayven,boş oda
görüm,görümce
polgu,bulgur
Aş,Yemek
çölük,küçük ağaç parçası.kuru ince dal
sıvışmak,sessizce kaybolmak
madıf,suratsız
i̇listir,kevgir
Vumbora,Yaban arısı
geykı,sert
almak,avuç dolusu
aporla,hoparlör
Inırıma,Ağırkanlı
Ürmek,Havlamak
Çaynig,Çaydanlık
gelik,eski ayakkabı
gapçıg,yeşil ve taze ağaç dallarından çıkarılan kabuk
ışımadan,şafak sökmeden
hiriğ,eski̇mi̇ş ayakkabi
çarpık,felçli
enüg,yavru
Böla,Böyle
cutul,ağacın kollarının ilk ayrıldığı yer
beçi̇,kiz kardeş
